"id","latitude","longitude"
"1414110","37.2154988","-80.4493405"
"1414111","37.1224813","-80.4253917"
"1414152","36.656177","-80.9217242"
"1414161","37.0197596","-79.8657336"
"1420381","37.2360657","-80.0229605"
"1425134","37.2948669","-79.8912508"
"1425189","36.8339021","-79.7546641"
"1425190","36.8490314","-79.9284831"
"1425191","37.0118353","-80.047613"
"1425272","36.7876013","-80.694676"
"1428679","36.7571493","-79.9825788"
"1432906","37.1322885","-80.4154386"
"1493507","37.2883874","-79.9452181"
"1493508","37.3008704","-79.9954135"
"1499111","36.9714305","-81.0821058"
"1518358","37.3254526","-80.7257294"
"1532311","36.9504126","-80.3742598"
"1532387","37.0592166","-80.7416448"
"1532391","37.0768328","-80.7547859"
"1532392","37.1017949","-80.6784281"
"1532393","37.1521549","-80.564234"
"1534847","37.28226","-79.9416112"
"1534852","37.244773","-79.9882859"
"1534854","37.265652","-79.9777993"
"1534855","37.2901776","-79.9684478"
"1534870","36.6727042","-79.8433696"
"1536472","36.9949913","-79.8790333"
"1536473","37.1994493","-80.2330553"
"1538548","37.2388627","-80.4195102"
"1540837","36.6995177","-80.8783634"
"1540840","37.0233222","-80.5926775"
"1545250","37.2795871","-80.1376837"
"1561677","36.9763465","-79.8960547"
"1659199","37.2473263","-80.4493405"
"1661181","36.926927","-79.8401296"
"1661249","37.2145148","-80.4078778"
"1667985","36.787907","-80.697391"
"1667987","36.6995177","-80.8783634"
"1668037","37.1398993","-80.3791784"
"1751260","37.2664267","-79.9415871"
"1751333","37.2802559","-79.8957232"
"1751338","37.2857137","-80.0518333"
"1751341","37.3435534","-79.9610852"
"1751353","37.2147902","-80.4610296"
"1778663","37.3066983","-79.8898149"
"1778750","36.7032025","-79.8481215"
"1778978","37.2621264","-79.9862457"
"1791277","37.126271","-80.3721285"
"1791281","37.1323123","-80.415452"
"1791282","37.2158857","-80.4567184"
"1791283","37.2142894","-80.4058741"
"1791335","37.2821523","-80.1134433"
"1791392","36.674911","-80.9074824"
"1795750","36.7501535","-79.8802357"
"1803053","36.9105539","-80.3078575"
"1803057","36.6720439","-79.9381577"
"1803326","37.061389","-80.4458649"
"1809390","37.2745186","-79.9159072"
"1819484","37.366224","-80.0613941"
"1412803","37.1967674","-80.0311364"
"1412805","36.7066696","-79.8698462"
"1412816","37.2257996","-80.0004279"
"1412818","36.7240046","-79.9136731"
"1412847","37.205864","-79.961845"
"1412853","36.7246519","-79.9168652"
"1412882","37.1121471","-79.9469951"
"1412907","37.276696","-80.0278811"
"1412908","37.28582","-80.0563073"
"1412911","36.74929","-79.880405"
"1413020","37.2891283","-80.0544671"
"1413051","37.0909483","-79.929414"
"1413052","37.1013613","-79.8162977"
"1413053","37.0118353","-80.047613"
"1413054","37.0790539","-79.7500643"
"1413055","36.9228981","-80.0270465"
"1413056","36.9876875","-79.7485072"
"1413057","36.8489953","-79.9285862"
"1413058","36.995529","-79.8790519"
"1413059","37.0200344","-79.8659989"
"1413060","36.8338358","-79.754713"
"1413061","36.926927","-79.8401296"
"1413131","37.2527245","-79.9693505"
"1413132","37.2163692","-80.0191648"
"1413135","37.244773","-79.9882859"
"1413137","37.3234555","-79.9537795"
"1413138","37.3344593","-79.956451"
"1413139","37.2792029","-79.8917261"
"1413140","37.2135057","-80.0165848"
"1413141","37.2036567","-79.9992856"
"1413142","37.3038955","-79.8847201"
"1413151","37.3435534","-79.9610852"
"1413152","37.320394","-80.0201131"
"1413177","37.2480312","-79.9721818"
"1413181","37.2259526","-80.0096467"
"1413190","37.2453424","-80.0306129"
"1413192","37.2773991","-79.8733045"
"1413193","37.2579932","-79.983859"
"1413195","37.2828881","-79.8817564"
"1413197","37.0989073","-79.82243"
"1413201","36.9993737","-79.8879557"
"1413219","36.7052769","-79.8709482"
"1413221","36.6703968","-79.7344943"
"1413259","37.2828881","-79.8817564"
"1413260","37.2370025","-79.906535"
"1413268","36.7046148","-79.8692175"
"1413302","37.1688963","-79.8661983"
"1413331","37.0128083","-79.8969843"
"1413376","37.2883782","-79.9451965"
"1413377","37.24602","-79.9913837"
"1413393","36.6399692","-79.8719192"
"1413394","36.6862844","-79.8115772"
"1413395","36.6610736","-79.7135333"
"1413396","36.606774","-79.8606638"
"1413401","36.7571493","-79.9825788"
"1413402","36.7160584","-80.052172"
"1413403","36.7371299","-79.9400191"
"1413404","36.6716156","-79.9390715"
"1413424","37.285692","-79.9963564"
"1413425","37.2745186","-79.9159072"
"1413426","37.2180925","-79.9080757"
"1413427","37.2890003","-79.9654627"
"1413428","37.2279664","-79.929387"
"1413429","37.2630329","-79.9504848"
"1413430","37.318537","-79.934613"
"1413431","37.2607428","-79.9214195"
"1413432","37.3129468","-79.948221"
"1413433","37.2933013","-79.9664567"
"1413434","37.2972473","-79.9564627"
"1413435","37.2662661","-79.9765365"
"1413436","37.2587516","-79.9679421"
"1413437","37.3008704","-79.9954135"
"1413439","37.266606","-79.9415549"
"1413440","37.288084","-79.9550989"
"1413441","37.2766651","-79.9401694"
"1413464","37.1995623","-80.0725177"
"1413465","37.3313491","-79.881833"
"1413466","37.203489","-79.9514034"
"1413467","37.279818","-80.1375819"
"1413468","37.2307086","-79.9889373"
"1413469","37.366224","-80.0613941"
"1413470","37.3348905","-79.9363239"
"1413471","37.2745766","-79.8789209"
"1413473","37.4994921","-80.1088708"
"1413493","37.2752942","-80.0271639"
"1413556","37.2807564","-80.0518382"
"1413557","37.2927948","-80.0570656"
"1413558","37.2687691","-79.9459388"
"1413568","37.2821523","-80.1134433"
"1413569","37.2704409","-79.951886"
"1413575","37.3412729","-79.9420619"
"1413581","37.2755996","-79.9673814"
"1413582","37.2907329","-79.9944024"
"1413583","37.269703","-79.9254252"
"1413584","37.2844961","-79.9810451"
"1413585","37.2776864","-79.9164327"
"1413608","37.1415415","-79.6825125"
"1413784","37.2762561","-79.9654214"
"1413785","37.2453424","-80.0306129"
"1413786","37.2745766","-79.8789209"
"1413793","36.6602428","-79.7964026"
"1413808","37.3249294","-80.7280248"
"1413810","37.3141178","-80.5792563"
"1413811","37.326853","-80.8132059"
"1413815","36.689988","-80.697626"
"1413816","36.6994932","-80.878441"
"1413818","37.061389","-80.4458649"
"1413870","37.1012672","-81.122865"
"1413875","36.9365473","-80.9450976"
"1413881","36.6850677","-80.8907845"
"1413884","36.9714965","-81.0577316"
"1413886","36.9482358","-81.0810279"
"1413889","36.9507439","-81.0817287"
"1413906","36.7603502","-80.729459"
"1413948","36.6584847","-80.925023"
"1413970","37.1702114","-80.2505017"
"1413971","36.6426167","-80.8377626"
"1413972","36.787907","-80.697391"
"1413973","36.6873589","-80.6097544"
"1413974","36.6048331","-80.6900337"
"1413975","36.7973438","-80.8518768"
"1413985","36.6048331","-80.6900337"
"1413986","36.6687919","-80.9107399"
"1414012","37.1053143","-80.695875"
"1414014","37.1058831","-80.6867946"
"1414016","37.1259909","-80.5719489"
"1414017","37.1389316","-80.5576993"
"1414023","37.2305449","-80.4133737"
"1414029","37.2199804","-80.4668077"
"1414038","37.0412636","-80.7828356"
"1414039","37.2295527","-80.4124337"
"1414040","37.1575845","-80.4198143"
"1414045","37.1273564","-80.4124419"
"1414046","36.867156","-80.415664"
"1414056","36.8626327","-80.864414"
"1414057","36.9729528","-80.9510765"
"1414058","36.887405","-80.9917871"
"1414059","36.8164294","-81.1758703"
"1414060","36.952186","-81.0848758"
"1414061","36.9071316","-81.2646167"
"1414070","37.2335172","-80.4255292"
"1414079","36.9272261","-80.3107125"
"1414083","37.3245346","-80.7262089"
"1414084","37.3883897","-80.82928"
"1414085","36.9083652","-80.3331376"
"1414086","37.1427482","-80.4134461"
"1414088","36.6435051","-80.1995526"
"1414090","37.1206514","-80.5704529"
"1414093","37.2142894","-80.4058741"
"1414094","37.2097418","-80.4902601"
"1414095","37.2370164","-80.4254368"
"1414096","37.2610341","-80.4105261"
"1414097","37.1704619","-80.51097"
"1414098","37.1323123","-80.415452"
"1414099","37.1994493","-80.2330553"
"1414100","37.126271","-80.3721285"
"1414102","37.3284726","-80.8110756"
"1414108","37.2254791","-80.4073958"
"1414112","37.1880795","-80.4028993"
"1414115","37.1165161","-80.4147767"
"1414118","37.2254791","-80.4073958"
"1414120","37.0712636","-80.4423744"
"1414121","37.0534812","-80.7493253"
"1414122","36.7375834","-80.4010968"
"1414127","37.1350789","-80.4219308"
"1414128","37.1017949","-80.6784281"
"1414129","37.0233222","-80.5926775"
"1414130","37.1521549","-80.564234"
"1414131","37.0406425","-80.7508023"
"1414132","37.0592166","-80.7416448"
"1414134","37.1137256","-80.3925906"
"1414144","37.2356977","-80.408371"
"1414146","37.2109995","-80.4664892"
"1414163","36.6416222","-80.2760888"
"1414164","36.600208","-80.5100952"
"1414165","36.6435051","-80.1995526"
"1414249","36.7071409","-79.8685337"
"1414608","37.1994006","-80.4843909"
"1423105","36.787703","-80.2754116"
"1423879","36.6602428","-79.7964026"
"1424458","37.3221606","-79.994315"
"1424716","37.2822895","-79.8638621"
"1426729","36.9450736","-80.3112348"
"1428655","36.6912117","-80.6931305"
"1536443","37.0347792","-80.1643569"
"1536444","36.8632574","-80.4662863"
"1536459","36.9105539","-80.3078575"
"1545602","36.5654728","-80.3845516"
